id,name,permalink,create_date,mrp,price,offer_price,discount,store_id,category_id,              data_source,ref_id,url,description,deal_notes,meta_title,meta_key,meta_des,brand,              size,size_unit,color,key_features,features,specifications,offers,in_stock,free_shipping,              shippingCharge,mm_average_rating,is_deal,is_coupon,start_date,end_date,coupon_code,              special_deal,upcoming_deal,show_as_banner,local_store_deal,localstore_deal_enabled,              featured,enabled,no_cashback,base_product,match_set,match_attempt,store_count,              display_order,last_update,deleted
"","Asus ZenPad Theater 7.0 Z370CG 16GB Tablet (Black)","","31-05-2017 14:30","","15499","7999","-48%","","Tablets","tatacliq.com","","https://www.tatacliq.com/asus-zenpad-theater-7-0-z370cg-16gb-tablet-black/p-mp000000000271242","You can consider opting for the Asus ZenPad ZC370CG tablet if you are planning to get one. The large f2.0 aperture helps to take the perfect shot every single time. It also comes with G-Sensor, E-compass, Light Sensor, Proximity Sensor and Hall Sensor. 2 GB RAM and 16 GB ROM(Expandable upto 64 GB). 7-inch, 1280x800 pixels (WXGA display). 8 MP Rear Camera, 2 MP Front Camera. Battery Capacity: 3450mAh","","","","Asus ZenPad Theater 7.0 Z370CG 16GB Tablet (Black)","Asus","",           "","Black","","{u'Product Height (cm)': u'0.87', u'RAM': u'2 GB', u'Warranty Description': u'1 Year', u'USB Inputs': u'1', u'Weight': u'272', u'Front Camera': u'2 MP', u'SIM Type': u'Single SIM', u'Flash': u'No', u'In the Box': u'Main Unit, Adapter, Manual, Micro USB Cable', u'Product Depth (cm)': u'18.9', u'Video Recording': u'Yes', u'Warranty Summary': u'Manufacturer Warranty', u'Product Width (cm)': u'11.09', u'Performance Features': u'This Asus tablet runs on Quad-core processor and Intel Atom x3-C3230 chipset makes it useful.', u'Memory': u'16 GB', u'Camera Features': u'f/2.0,Autofocus', u'Operating Frequency': u'gsm/wcdma 850/900/1800/1900/2100 mhz', u'Unique Thing': u'Gorilla Glass', u'Color Family': u'Black', u'Primary Camera': u'8 MP', u'Display Features': u'7 WXGA (1280x800) Screen, IPS Panel'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
"","Apple iPad Air 2 Wi-Fi 16 GB (Silver)","","31-05-2017 14:31","","31900","30900","-3%","","Tablets","tatacliq.com","","https://www.tatacliq.com/apple-ipad-air-2-wi-fi-16-gb-silver/p-mp000000000006373","Apple iPad Air 2 Wi-Fi 16GB in Silver has 8 MP iSight camera that allows you click pictures or record videos. Use the 16 GB storage to save images and videos. You can enjoy video calls with 1.2 MP FaceTime HD camera. 1.2 MP Secondary Camera. Home button has fingerprint identity sensor. Ambient light sensor. Fully laminated display","","","","Apple iPad Air 2 Wi-Fi 16 GB (Silver)","APPLE","",           "","Silver","","{u'Warranty Description': u'1 Year', u'Performance Features': u'A8X chip with 64-bit architecture', u'Capacity': u'16 GB', u'In the Box': u'iPad, User Manual, USB Cable, Charger', u'Connector': u'Lightning', u'Product Width (cm)': u'17', u'Camera Features': u'Back', u'Display Features': u'Retina Display, LED Backlit, Multi-touch Display with IPS Technology', u'Product Height (cm)': u'24', u'Front Camera Features': u'Backside Illumination', u'Color Family': u'Silver', u'Warranty Summary': u'Manufacturer Warranty', u'Connectivity': u'-', u'Battery life': u'Up to 10 hours of surfing the web on WiFi', u'Sensors': u'Three-axis gyro sensor accelerometer proximity sensor digital compass ambient light sensor', u'Sim Card': u'Nano Sim', u'Unique Thing': u'3 Axis Gyro Sensor', u'Resolution': u'2048 x 1536 at 264 pixels per inch (ppi)', u'Processor': u'A8 Chip with 64-bit Architecture and M8 Motion Coprocessor', u'Front Camera': u'1.2 MP FaceTime HD Camera', u'Weight': u'437', u'Bluetooth': u'Bluetooth 4.0', u'Primary Camera': u'8 MP', u'Product Depth (cm)': u'0.6'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
"","Apple 9.7 iPad Pro Wi-Fi 32 GB (Rose Gold)","","31-05-2017 14:31","","49900","45990","-7%","","Tablets","tatacliq.com","","https://www.tatacliq.com/apple-9-7-ipad-pro-wi-fi-32-gb-rose-gold/p-mp000000000214761","Powered by the A9X M9 coprocessor, the Apple MM172HN/A iPad Pro, Rose Gold lets you access multiple applications without experiencing a lag. This iOS 9 iPad is intuitive and versatile. You can take pictures and videos with this 12 MP iSight iPad and view them on its 9.7-inch backlit LED display. Equipped with Wi-Fi connectivity, this 32 GB iPad lets you access multimedia files and apps conveniently. 9.7 inch Screen, 2048 x 1536 pixels Resolution. IOS 9 Operating System. 32 GB Internal Storage Capacity. 12 MP iSight Rear Camera, 5 MP Front Camera","","","","Apple 9.7 iPad Pro Wi-Fi 32 GB (Rose Gold)","Apple","",           "","Pink","","{u'Warranty Description': u'1 Year', u'Performance Features': u'Dual-core 2.16 GHz, Apple A9X', u'Capacity': u'32 GB', u'In the Box': u'iPad Pro, Lightning to USB Cable, USB Power Adapter', u'Connector': u'Lightning', u'Product Width (cm)': u'17', u'Camera Features': u'Front', u'Display Features': u'9.7 inch LED-Backlit Multi-Touch Display', u'Product Height (cm)': u'24', u'Front Camera Features': u'Face Detection', u'Color Family': u'Pink', u'Warranty Summary': u'Manufacturer Warranty', u'Connectivity': u'Wi-Fi', u'Battery life': u'Up to 10 hours (multimedia)', u'Sensors': u'Three-axis gyro sensor accelerometer proximity sensor digital compass ambient light sensor', u'Sim Card': u'Nano Sim', u'Unique Thing': u'3 Axis Gyro Sensor', u'Vide Resolution': u'720p HD video', u'Resolution': u'-', u'Processor': u'-', u'Front Camera': u'5 MP FaceTime HD Camera', u'Weight': u'437', u'Primary Camera': u'12 MP', u'Product Depth (cm)': u'0.6'}","","Anniversary Special Price","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
