id,name,permalink,create_date,mrp,price,offer_price,discount,store_id,category_id,              data_source,ref_id,url,description,deal_notes,meta_title,meta_key,meta_des,brand,              size,size_unit,color,key_features,features,specifications,offers,in_stock,free_shipping,              shippingCharge,mm_average_rating,is_deal,is_coupon,start_date,end_date,coupon_code,              special_deal,upcoming_deal,show_as_banner,local_store_deal,localstore_deal_enabled,              featured,enabled,no_cashback,base_product,match_set,match_attempt,store_count,              display_order,last_update,deleted
"","Philips Daily Collection HR1604/00 550W Hand Blender (White)","","31-05-2017 14:31","","2995","2723","-9%","","Kitchen Appliances","tatacliq.com","","https://www.tatacliq.com/philips-daily-collection-hr1604-00-550w-hand-blender-white/p-mp000000000005901","Get pureeing and chopping done from the Philips HR1604/00 Daily Collection Hand Blender. The 550W motor and sturdy metal bar powers up your blending process and ensures fine chopping. It also comes with a 500ml beaker. Slim-grip to fit any hand. Single switch. 2-button release system. User Manual","","","","Philips Daily Collection HR1604/00 550W Hand Blender (White)","Philips","",           "","White","","{u'Product Height (cm)': u'0', u'Functions': u'Blending', u'Performance Features': u'Strong 550 W motor', u'Capacity': u'0.5 L', u'Warranty Description': u'-', u'In the Box': u'Hand Blender, Beaker, User Manual', u'Color Family': u'White', u'Warranty Summary': u'-', u'No of Jars': u'1', u'Product Depth (cm)': u'0', u'Product Width (cm)': u'0', u'Unique Thing': u'2-button Release', u'Additional Features': u'Triangular shape for optimal flow and blending', u'Type': u'Hand Blender', u'Blades': u'Stainless Steel'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
"","Glen GL 3033 1200 W Glass Grill (Silver)","","31-05-2017 14:31","","13990","12500","-10%","","Kitchen Appliances","tatacliq.com","","https://www.tatacliq.com/glen-gl-3033-1200-w-glass-grill-silver/p-mp000000000678462","The Glen GL 3033 Glass Grill features a glass plate that allows you to grill meat, fish, and chicken conveniently. It is apt for indoor use as it emits low heat radiation while the food is being processed. Furthermore, this glass grill lets you prepare delicious dishes with less oil, thereby keeping your meals healthy and nutritious. 1200 Watts Power Consumption. Easy to clean detachable oil tray. Stainless steel housing and handles,","","","","Glen GL 3033 1200 W Glass Grill (Silver)","Glen","",           "","Silver","","{u'Product Height (cm)': u'10', u'Functions': u'Cooking Grilling', u'Performance Features': u'High efficiency heating element', u'Capacity': u'-', u'Weight': u'5500', u'Warranty Description': u'1 Year', u'Color Family': u'Silver', u'Warranty Summary': u'Manufacturer Warranty', u'Power Features': u'220-240V', u'Power Consumption': u'1200 W', u'Product Width (cm)': u'56.5', u'Product Depth (cm)': u'38.2', u'Technology Used': u'-', u'Additional Features': u'Healthy cooking with less oil'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
"","Chef Art CMC092 500 W Mini Chopper (Red/White)","","31-05-2017 14:31","","1995","1606","-19%","","Kitchen Appliances","tatacliq.com","","https://www.tatacliq.com/chef-art-cmc092-500-w-mini-chopper-red-white/p-mp000000001078916","Practical and versatile, the nifty Chef Art CMC092 Mini Chopper takes care of all your chopping chores. Its 500 W motor allows it to perform functions such as mixing, blending, and whipping. In addition, this chopper can be easily disassembled and cleaned. Easy Cord & Plug Storage. 500 W Power Consumption. Stainless Steel Blade material. Chopping, Shredding & Slicing Function","","","","Chef Art CMC092 500 W Mini Chopper (Red/White)","Chef Art","",           "","White","","{u'Product Height (cm)': u'28', u'Functions': u'Chopping, Shredding & Slicing', u'Performance Features': u'Durable design', u'Capacity': u'-', u'Warranty Description': u'1 Year', u'In the Box': u'Main Unit, User Manual, Warranty Card', u'Color Family': u'White', u'Warranty Summary': u'Manufacturer Warranty', u'Power Features': u'Ac 220-240V/50 Hz', u'No of Jars': u'-', u'Product Width (cm)': u'16', u'Product Depth (cm)': u'16', u'Type': u'Chopper', u'Blades': u'Stainless Steel Blades'}","","","display: none;","0","","","","","","","","","","","","",           "","","","","","","","","",""
