id,name,permalink,create_date,mrp,price,offer_price,discount,store_id,category_id,              data_source,ref_id,url,description,deal_notes,meta_title,meta_key,meta_des,brand,              size,size_unit,color,key_features,features,specifications,offers,in_stock,free_shipping,              shippingCharge,mm_average_rating,is_deal,is_coupon,start_date,end_date,coupon_code,              special_deal,upcoming_deal,show_as_banner,local_store_deal,localstore_deal_enabled,              featured,enabled,no_cashback,base_product,match_set,match_attempt,store_count,              display_order,last_update,deleted
"","Macmerise I Have Your Back Sublime case for HTC One M8","","24-05-2017 03:18","","599","499","-16%","","Accessories","tatacliq.com","","https://www.tatacliq.com/macmerise-i-have-your-back-sublime-case-for-htc-one-m8/p-mp000000000807966","The Macmerise HTCM8SDK0122 I Have Your Back Sublime Case protects your HTC One M8 from daily wear and tear and gives easy access to all media ports. This snap-on case has a hard shell construction for durability. Its anti-slip grip prevents slippage and ensures complete safety of your smartphone. Made with advanced trans-mat thermal transfer technology, this stylish case has razor-sharp prints that exude superior colour. Compatible with HTC One M8. Made with Sublimation Transfer Method. Hard Shell Polycarbonate Construction. Matte Finish Gives a Premium Look","","","","Macmerise I Have Your Back Sublime case for HTC One M8","Macmerise","",           "","Multi","","{u'Product Height (cm)': u'0', u'Warranty Description': u'1 Year', u'Suitable for': u'Smart phone make and model', u'Case Or Cover': u'Case', u'In the Box': u'Macmerise I Have Your Back Sublime case for HTC One M8', u'Color Family': u'Multi', u'Warranty Summary': u'Manufacturer Warranty', u'Product Width (cm)': u'0', u'Product Depth (cm)': u'0'}","","","","","","","","","","","","","","","","",           "","","","","","","","","",""
"","Macmerise Black Panther Stare Sublime Case for HTC One M8","","24-05-2017 03:18","","599","499","-16%","","Accessories","tatacliq.com","","https://www.tatacliq.com/macmerise-black-panther-stare-sublime-case-for-htc-one-m8/p-mp000000000809808","The Macmerise HTCM8SMM0362 Black Panther Stare Sublime Case protects your HTC One M8 from daily wear and tear and gives easy access to all media ports. This snap-on case has a hard shell construction for durability. Its anti-slip grip prevents slippage and ensures complete safety of your smartphone. Made with advanced trans-mat thermal transfer technology, this stylish case has razor-sharp prints that exude superior colour. Compatible with HTC One M8. Made with Sublimation Transfer Method. Hard Shell Polycarbonate Construction. Matte Finish Gives a Premium Look","","","","Macmerise Black Panther Stare Sublime Case for HTC One M8","Macmerise","",           "","Multi","","{u'Product Height (cm)': u'0', u'Warranty Description': u'1 Year', u'Suitable for': u'Smart phone make and model', u'Case Or Cover': u'Case', u'In the Box': u'Macmerise Black Panther Stare Sublime Case for HTC One M8', u'Color Family': u'Multi', u'Warranty Summary': u'Manufacturer Warranty', u'Product Width (cm)': u'0', u'Product Depth (cm)': u'0'}","","","","","","","","","","","","","","","","",           "","","","","","","","","",""
"","Macmerise Music Genres Sublime Case for HTC One M8","","24-05-2017 03:18","","599","499","-16%","","Accessories","tatacliq.com","","https://www.tatacliq.com/macmerise-music-genres-sublime-case-for-htc-one-m8/p-mp000000000809505","The Macmerise HTCM8SMI0266 Music Genres Sublime Case protects your HTC One M8 from daily wear and tear and gives easy access to all media ports. This snap-on case has a hard shell construction for durability. Its anti-slip grip prevents slippage and ensures complete safety of your smartphone. Made with advanced trans-mat thermal transfer technology, this stylish case has razor-sharp prints that exude superior colour. Compatible with HTC One M8. Made with Sublimation Transfer Method. Hard Shell Polycarbonate Construction. Matte Finish Gives a Premium Look","","","","Macmerise Music Genres Sublime Case for HTC One M8","Macmerise","",           "","Multi","","{u'Product Height (cm)': u'0', u'Warranty Description': u'1 Year', u'Suitable for': u'Smart phone make and model', u'Case Or Cover': u'Case', u'In the Box': u'Macmerise Music Genres Sublime Case for HTC One M8', u'Color Family': u'Multi', u'Warranty Summary': u'Manufacturer Warranty', u'Product Width (cm)': u'0', u'Product Depth (cm)': u'0'}","","","","","","","","","","","","","","","","",           "","","","","","","","","",""
"","Kritzels Fish Tank Case for iPhone 5C","","24-05-2017 03:18","","899","499","-44%","","Accessories","tatacliq.com","","https://www.tatacliq.com/kritzels-fish-tank-case-for-iphone-5c/p-mp000000000470130","Kritzels Fish Tank case adds to perfect zing to your smartphone. The graphical print is superimposed on the hard shell polycarbonate case with high-intensity print infusion technology for maximum durability. The hard shell case offers a solid grip and provides smooth touch and feel to your case. Your iPhone 5C will be easily distinguished by the cool matte finish of the case. Ultra vivid & Razor sharp color print technology. Made of Hard shell plastic. Offers Solid Grip. Matte Finish","","","","Kritzels Fish Tank Case for iPhone 5C","Planet Superheroes","",           "","Blue","","{u'Product Height (cm)': u'124.4', u'Warranty Description': u'1 year manufacturing warranty on print defects.', u'Weight': u'100', u'Suitable for': u'Apple iPhone', u'Case Or Cover': u'Back Case', u'In the Box': u'Main Unit', u'Color Family': u'Blue', u'Warranty Summary': u'The warranty does not include any physical damage.', u'Unique Thing': u'Ultra Vivid Print', u'Product Width (cm)': u'59.2', u'Product Depth (cm)': u'9'}","","","","","","","","","","","","","","","","",           "","","","","","","","","",""
"","Johnny Bravo Poser Case for Samsung Grand Prime","","24-05-2017 03:18","","899","499","-44%","","Accessories","tatacliq.com","","https://www.tatacliq.com/johnny-bravo-poser-case-for-samsung-grand-prime/p-mp000000000476582","Johnny Bravo Poser case adds to perfect zing to your smartphone. The graphical print is superimposed on the hard shell polycarbonate case with high-intensity print infusion technology for maximum durability. The hard shell case offers a solid grip and provides smooth touch and feel to your case. Your Samsung Grand Prime will be easily distinguished by the cool matte finish of the case. Ultra vivid & Razor sharp color print technology. Made of Hard shell plastic. Offers Solid Grip. Matte Finish","","","","Johnny Bravo Poser Case for Samsung Grand Prime","Planet Superheroes","",           "","Grey","","{u'Product Height (cm)': u'144.8', u'Warranty Description': u'1 year manufacturing warranty on print defects.', u'Weight': u'100', u'Suitable for': u'Smartphones', u'Case Or Cover': u'Back Case', u'In the Box': u'Main Unit', u'Color Family': u'Grey', u'Warranty Summary': u'The warranty does not include any physical damage.', u'Unique Thing': u'Ultra Vivid Print', u'Product Width (cm)': u'72.1', u'Product Depth (cm)': u'8.6'}","","","","","","","","","","","","","","","","",           "","","","","","","","","",""
"","Kritzels Messy Case for Samsung Galaxy E7","","24-05-2017 03:18","","899","499","-44%","","Accessories","tatacliq.com","","https://www.tatacliq.com/kritzels-messy-case-for-samsung-galaxy-e7/p-mp000000000476794","Kritzels Messy case adds to perfect zing to your smartphone. The graphical print is superimposed on the hard shell polycarbonate case with high-intensity print infusion technology for maximum durability. The hard shell case offers a solid grip and provides smooth touch and feel to your case. Your Samsung Galaxy E7 will be easily distinguished by the cool matte finish of the case. Ultra vivid & Razor sharp color print technology. Made of Hard shell plastic. Offers Solid Grip. Matte Finish","","","","Kritzels Messy Case for Samsung Galaxy E7","Planet Superheroes","",           "","Green","","{u'Product Height (cm)': u'151.3', u'Warranty Description': u'1 year manufacturing warranty on print defects.', u'Weight': u'100', u'Suitable for': u'Smartphones', u'Case Or Cover': u'Back Case', u'In the Box': u'Main Unit', u'Color Family': u'Green', u'Warranty Summary': u'The warranty does not include any physical damage.', u'Unique Thing': u'Ultra Vivid Print', u'Product Width (cm)': u'77.2', u'Product Depth (cm)': u'7.3'}","","","","","","","","","","","","","","","","",           "","","","","","","","","",""
"","Simpsons Duff Beer Case for Samsung S5","","24-05-2017 03:18","","899","499","-44%","","Accessories","tatacliq.com","","https://www.tatacliq.com/simpsons-duff-beer-case-for-samsung-s5/p-mp000000000474904","Simpsons Duff Beer case adds to perfect zing to your smartphone. The graphical print is superimposed on the hard shell polycarbonate case with high-intensity print infusion technology for maximum durability. The hard shell case offers a solid grip and provides smooth touch and feel to your case. Your Samsung S5 will be easily distinguished by the cool matte finish of the case. Ultra vivid & Razor sharp color print technology. Made of Hard shell plastic. Offers Solid Grip. Matte Finish","","","","Simpsons Duff Beer Case for Samsung S5","Planet Superheroes","",           "","Multi","","{u'Product Height (cm)': u'142', u'Warranty Description': u'1 year manufacturing warranty on print defects.', u'Weight': u'100', u'Suitable for': u'Smartphones', u'Case Or Cover': u'Back Case', u'In the Box': u'Main Unit', u'Color Family': u'Multi', u'Warranty Summary': u'The warranty does not include any physical damage.', u'Unique Thing': u'Ultra Vivid Print', u'Product Width (cm)': u'72.5', u'Product Depth (cm)': u'8.1'}","","","","","","","","","","","","","","","","",           "","","","","","","","","",""
"","Johnny Bravo One Man Army Case for Xiaomi Redmi 2","","24-05-2017 03:18","","899","499","-44%","","Accessories","tatacliq.com","","https://www.tatacliq.com/johnny-bravo-one-man-army-case-for-xiaomi-redmi-2/p-mp000000000474417","Johnny Bravo One Man Army case adds to perfect zing to your smartphone. The graphical print is superimposed on the hard shell polycarbonate case with high-intensity print infusion technology for maximum durability. The hard shell case offers a solid grip and provides smooth touch and feel to your case. Your Xiaomi Redmi 2 will be easily distinguished by the cool matte finish of the case. Ultra vivid & Razor sharp color print technology. Made of Hard shell plastic. Offers Solid Grip. Matte Finish","","","","Johnny Bravo One Man Army Case for Xiaomi Redmi 2","Planet Superheroes","",           "","Green","","{u'Product Height (cm)': u'134', u'Warranty Description': u'1 year manufacturing warranty on print defects.', u'Weight': u'100', u'Suitable for': u'Smartphones', u'Case Or Cover': u'Back Case', u'In the Box': u'Main Unit', u'Color Family': u'Green', u'Warranty Summary': u'The warranty does not include any physical damage.', u'Unique Thing': u'Ultra Vivid Print', u'Product Width (cm)': u'67.2', u'Product Depth (cm)': u'9.4'}","","","","","","","","","","","","","","","","",           "","","","","","","","","",""
"","Kritzels Fish Tank Case for Sony Xperia Z3","","24-05-2017 03:18","","899","499","-44%","","Accessories","tatacliq.com","","https://www.tatacliq.com/kritzels-fish-tank-case-for-sony-xperia-z3/p-mp000000000474979","Kritzels Fish Tank case adds to perfect zing to your smartphone. The graphical print is superimposed on the hard shell polycarbonate case with high-intensity print infusion technology for maximum durability. The hard shell case offers a solid grip and provides smooth touch and feel to your case. Your Sony Xperia Z3 will be easily distinguished by the cool matte finish of the case. Ultra vivid & Razor sharp color print technology. Made of Hard shell plastic. Offers Solid Grip. Matte Finish","","","","Kritzels Fish Tank Case for Sony Xperia Z3","Planet Superheroes","",           "","Blue","","{u'Product Height (cm)': u'146', u'Warranty Description': u'1 year manufacturing warranty on print defects.', u'Weight': u'100', u'Suitable for': u'Smartphones', u'Case Or Cover': u'Back Case', u'In the Box': u'Main Unit', u'Color Family': u'Blue', u'Warranty Summary': u'The warranty does not include any physical damage.', u'Unique Thing': u'Ultra Vivid Print', u'Product Width (cm)': u'72', u'Product Depth (cm)': u'7.3'}","","","","","","","","","","","","","","","","",           "","","","","","","","","",""
"","Kritzels I Scream For You Case for Samsung Grand Prime","","24-05-2017 03:18","","899","499","-44%","","Accessories","tatacliq.com","","https://www.tatacliq.com/kritzels-i-scream-for-you-case-for-samsung-grand-prime/p-mp000000000476470","Kritzels I Scream For You case adds to perfect zing to your smartphone. The graphical print is superimposed on the hard shell polycarbonate case with high-intensity print infusion technology for maximum durability. The hard shell case offers a solid grip and provides smooth touch and feel to your case. Your Samsung Grand Prime will be easily distinguished by the cool matte finish of the case. Ultra vivid & Razor sharp color print technology. Made of Hard shell plastic. Offers Solid Grip. Matte Finish","","","","Kritzels I Scream For You Case for Samsung Grand Prime","Planet Superheroes","",           "","Pink","","{u'Product Height (cm)': u'144.8', u'Warranty Description': u'1 year manufacturing warranty on print defects.', u'Weight': u'100', u'Suitable for': u'Smartphones', u'Case Or Cover': u'Back Case', u'In the Box': u'Main Unit', u'Color Family': u'Pink', u'Warranty Summary': u'The warranty does not include any physical damage.', u'Unique Thing': u'Ultra Vivid Print', u'Product Width (cm)': u'72.1', u'Product Depth (cm)': u'8.6'}","","","","","","","","","","","","","","","","",           "","","","","","","","","",""
